date,AAPL,Return,42d,252d,Mov_Vol
2008-01-10,178.02,-0.007722046093910278,181.88095238095238,130.72750000000002,0.03824905503452157
2008-01-11,172.69,-0.030397823934206838,182.05523809523808,131.03261904761902,0.037118340900973844
2008-01-14,178.78,0.0346579200631279,182.6509523809524,131.36658730158732,0.040082321594609546
2008-01-15,169.04,-0.05602062635190529,182.6290476190476,131.6520634920635,0.03492353921625426
2008-01-16,159.64,-0.05721409312726818,182.475,131.90876984126984,0.03272988663934396
2008-01-17,160.89,0.007799621482410303,182.39380952380952,132.19376984126984,0.03724829325078934
2008-01-18,161.36,0.0029169919830130428,182.2740476190476,132.48289682539684,0.037836470061780585
2008-01-22,155.64,-0.0360922455296037,182.07619047619048,132.75611111111112,0.03679195886739061
2008-01-23,139.07,-0.11256824462583334,181.36714285714285,132.96789682539685,0.030496981825298898
2008-01-24,135.6,-0.02526802798422425,180.5847619047619,133.16194444444443,0.02817444770472611
2008-01-25,130.01,-0.04209800493221784,179.59595238095238,133.33559523809524,0.02585033300663774
2008-01-28,130.01,0.0,178.58333333333334,133.5126984126984,0.026488977975476086
2008-01-29,131.54,0.011699617299127583,177.55309523809524,133.6936507936508,0.02681416098748144
2008-01-30,132.18,0.004853642169101949,176.40928571428572,133.87869047619049,0.027406432587765577
2008-01-31,135.36,0.023773265815606494,175.24428571428572,134.0756349206349,0.028771605205748344
2008-02-01,133.75,-0.01196551008179731,174.0902380952381,134.27011904761903,0.02874953002757618
2008-02-04,131.65,-0.015825499833797486,172.96619047619046,134.45623015873016,0.02774518387523324
2008-02-05,129.36,-0.017547670673466978,171.76500000000001,134.63646825396825,0.02724474742799237
2008-02-06,122.0,-0.058578170535594956,170.25309523809523,134.7866666666667,0.023397268578188878
2008-02-07,121.24,-0.006248992543654144,168.61714285714285,134.9259126984127,0.021523948464515014
2008-02-08,125.48,0.0343743311328751,166.97857142857143,135.0818650793651,0.023667395190896258
2008-02-11,129.45,0.03114832287506911,165.43666666666667,135.26511904761904,0.027793388599089912
2008-02-12,124.86,-0.03610159656394844,163.92047619047622,135.42376984126983,0.02431285546464626
2008-02-13,129.4,0.03571527243320223,162.45714285714286,135.60115079365082,0.026696435818720676
2008-02-14,127.46,-0.015105792180652243,160.9245238095238,135.7684523809524,0.02530019442296642
2008-02-15,124.63,-0.02245324204786259,159.35880952380953,135.92488095238096,0.02395227324202697
2008-02-19,122.18,-0.019853980616664563,157.87738095238097,136.07309523809522,0.022983144830240537
2008-02-20,123.82,0.013333530869465168,156.46880952380954,136.2235714285714,0.023033474308522536
